theta_t,q_t,q_g,q_total,green_share,purchase_price,profit_t,profit_g,profit_r,utility_t,risk_sd
15.4,0.5299550799979812,0.9116741533336699,1.4416292333316512,0.632391555508875,3.058370766668349,1.1995205440897119,2.3209492855699914,2.85660946306223,0.950825755564439,0.1270787639297016
15.600000000000001,0.528115883713912,0.9119806860476813,1.4400965697615935,0.6332774518021793,3.0599034302384065,1.1976240241931975,2.322626315171998,2.8514264151199047,0.9474449953852566,0.1266377401538667
15.8,0.5262894090521778,0.9122850984913037,1.4385745075434815,0.6341590885335006,3.0614254924565185,1.1957250001614776,2.3242923027878626,2.8462838675257114,0.944088177681352,0.12619976691590284
16.0,0.5244755244755245,0.9125874125874126,1.437062937062937,0.635036496350365,3.062937062937063,1.193823658858624,2.3259473568389657,2.8411813536114234,0.9407550491466576,0.1257648126742846
16.2,0.5226741002538703,0.9128876499576882,1.4355617502115585,0.6359097056069906,3.0644382497884415,1.1919201823774292,2.3275915843358126,2.8361184137762523,0.9374453600339556,0.1253328463208312
16.400000000000002,0.5208850084333763,0.9131858319277706,1.4340708403611468,0.6367787463677875,3.065929159638853,1.1900147481586605,2.3292250909008434,2.8310945953546995,0.9341588640926284,0.12490383717328987
16.6,0.5191081228061502,0.9134819795323083,1.4325901023384584,0.6376436484108086,3.0674098976615416,1.1881075291071004,2.3308479807907934,2.8261094524873442,0.9308953185077067,0.12447775496807126
16.8,0.5173433188805676,0.9137761135199054,1.431119432400473,0.6385044412311506,3.068880567599527,1.1861986937044784,2.332460356918629,2.821162545994489,0.9276544838401899,0.12405456985313251
17.0,0.5155904738521974,0.9140682543579671,1.4296587282101645,0.639361154044307,3.0703412717898355,1.1842884061193795,2.334062320875064,2.816253443252587,0.9244361239686065,0.12363425238100552
17.2,0.5138494665753157,0.9143584222374473,1.428207888812763,0.6402138157894737,3.071792111187237,1.1823768263142198,2.3356539729496624,2.811381718073391,0.9212400060317805,0.12321677350196622
17.400000000000002,0.5121201775349948,0.9146466370775008,1.4267668146124957,0.6410624551328069,3.0732331853875046,1.1804641101493747,2.3372354121515446,2.8065469505857354,0.9180659003727808,0.12280210455734172
17.6,0.510402488819755,0.9149329185300409,1.425335407349796,0.6419071004706364,3.074664592650204,1.1785504094845423,2.3388067362296945,2.801748727119907,0.9149135804840214,0.12239021727295245
17.8,0.5086962840947629,0.9152172859842062,1.4239135700789691,0.6427477799326323,3.076086429921031,1.1766358722774242,2.340368041692889,2.79698664009452,0.9117828229534868,0.12198108375268532
18.0,0.5070014485755674,0.9154997585707387,1.4225012071463061,0.6435845213849287,3.077498792853694,1.1747206426797976,2.3419194238292427,2.7922602879058513,0.9086734074120535,0.12157467647219593
18.2,0.5053178690023582,0.9157803551662737,1.4210982241686319,0.6444173524332012,3.078901775831368,1.1728048611310569,2.343460976725399,2.787569274819555,0.905585116481884,0.12117096827273582
18.400000000000002,0.5036454336147352,0.9160590943975441,1.4197045280122793,0.6452463004257044,3.0802954719877205,1.170888664449299,2.3449927932853463,2.7829132108647086,0.9025177357258678,0.12076993235510253
18.6,0.5019840321269781,0.9163359946455036,1.4183200267724816,0.6460713924562645,3.0816799732275184,1.168972185920019,2.3465149652488937,2.778291711730134,0.8994710535980832,0.1203715422737093
18.8,0.5003335557038026,0.9166110740493663,1.4169446297531687,0.6468926553672317,3.0830553702468313,1.1670555553824855,2.348027583209798,2.773704398662929,0.8964448613952554,0.11997577193077183
19.0,0.49869389693659466,0.9168843505105676,1.4155782474471623,0.6477101157523905,3.0844217525528377,1.1651388993138654,2.3495307366335556,2.7691508983691606,0.8934389532091913,0.11958259557060924
19.200000000000003,0.4970649498201098,0.9171558416966483,1.4142207915167582,0.6485237999598312,3.085779208483242,1.1632223409111582,2.3510245138748624,2.7646308429166653,0.8904531258801645,0.11919198777405687
19.400000000000002,0.4954466097296278,0.917425565045062,1.4128721747746897,0.64933373409478,3.08712782522531,1.1613060001710056,2.352509002194754,2.7601438696399065,0.8874871789512302,0.11880392345298815
19.6,0.4938387733985514,0.9176935377669081,1.4115323111654594,0.6501399440223911,3.0884676888345406,1.15938999396743,2.353984287777431,2.755689621046833,0.8845409146234473,0.11841837784494298
19.8,0.4922413388964419,0.917959776850593,1.4102011157470349,0.6509424553704997,3.089798884252965,1.1574744361275693,2.355450455746772,2.7512677447276994,0.8816141377119867,0.11803532650786076
20.0,0.4906542056074767,0.9182242990654206,1.4088785046728973,0.6517412935323382,3.0911214953271027,1.1555594375054592,2.3569075901825487,2.746877893265788,0.8787066556031096,0.11765474531491485
20.200000000000003,0.48907727420932506,0.9184871209651125,1.4075643951744377,0.6525364836692147,3.092435604825562,1.1536451060539166,2.358355774136343,2.7425197241499992,0.8758182782119874,0.117276610449447
20.400000000000002,0.48751044665242826,0.918748258891262,1.4062587055436904,0.6533280507131537,3.0937412944563096,1.151731546894582,2.3597950896471755,2.738192899689261,0.8729488179413535,0.11690089839999895
20.6,0.48595362613967696,0.9190077289767205,1.4049613551163973,0.6541160193695029,3.0950386448836027,1.1498188623861674,2.361225617756848,2.7338970869287023,0.87009808964096,0.11652758595543933
20.8,0.48440671710647726,0.9192655471489205,1.4036722642553978,0.6549004141195031,3.096327735744602,1.1479071521909627,2.3626474385250127,2.729631957567574,0.8672659105678246,0.11615665020018351
21.0,0.48286962520119564,0.919521729133134,1.4023913543343296,0.6556812592228235,3.0976086456656704,1.1459965133396506,2.3640606310439662,2.72539718787884,0.8644521003472543,0.11578806850950459
21.200000000000003,0.48134225726597596,0.9197762904556707,1.4011185477216466,0.6564585787200629,3.0988814522783534,1.1440870402944707,2.3654652734531822,2.7211924586304397,0.8616564809346166,0.11542181854493341
21.400000000000002,0.479824521317918,0.9200292464470137,1.3998537677649316,0.6572323964352169,3.100146232235068,1.142178825010785,2.3668614429535797,2.717017455008141,0.8588788765778539,0.11505787824974534
21.6,0.4783163265306123,0.920280612244898,1.3985969387755102,0.6580027359781122,3.10140306122449,1.1402719569970845,2.368249215821533,2.712871866539983,0.8561191137807163,0.11469622584453251
21.8,0.4768175832160211,0.9205304027973298,1.3973479860133509,0.658769620746807,3.102652013986649,1.1383665233734839,2.369628667422643,2.708755387022243,0.853377021266701,0.11433683982285898
22.0,0.47532820280669996,0.9207786328655501,1.3961068356722501,0.659533073929961,3.10389316432775,1.1364626089287395,2.3709998722252545,2.7046677144469085,0.8506524299436786,0.11397969894699765
22.200000000000003,0.47384809783835014,0.9210253170269417,1.394873414865292,0.660293118509172,3.105126585134708,1.1345602961758392,2.372362903813735,2.700608550930607,0.8479451728691978,0.11362478224374646
22.400000000000002,0.47237718193269745,0.9212704696778837,1.3936476516105811,0.6610497772612822,3.106352348389419,1.1326596654061953,2.3737178349015258,2.6965776026449784,0.8452550852164438,0.1132720690003229
22.6,0.470915369780688,0.921514105036552,1.3924294748172399,0.6618030727606532,3.1075705251827603,1.1307607947424831,2.375064737343952,2.692574579748434,0.8425820042408443,0.11292153876033446
22.8,0.4694625771259948,0.9217562371456676,1.3912188142716624,0.6625530273814115,3.1087811857283376,1.1288637601901605,2.3764036821508205,2.6885991963192817,0.8399257692473061,0.11257317131982374
23.0,0.46801872074883,0.921996879875195,1.390015600624025,0.6632996632996633,3.109984399375975,1.1269686356877053,2.3777347394987842,2.6846511702901816,0.8372862215580668,0.11222694672338657
23.200000000000003,0.4665837184500533,0.9222360469249912,1.3888197653750445,0.6640430024956806,3.1111802346249555,1.125075493155603,2.379057978743503,2.6807302233839154,0.8346632044811497,0.1118828452603616
23.400000000000002,0.46515748903557347,0.9224737518274044,1.3876312408629778,0.6647830667560579,3.112368759137022,1.1231844025441213,2.380373468431583,2.676836081050417,0.8320565632794102,0.11154084746108969
23.6,0.46373995230103343,0.9227100079498277,1.386449960250861,0.665519877675841,3.113550039749139,1.1212954318798993,2.381681276312314,2.672968472405045,0.8294661451401557,0.11120093409324164
23.8,0.46233102901677603,0.9229448284972039,1.3852758575139799,0.6662534566606275,3.11472414248602,1.1194086473113904,2.3829814693491995,2.669127130168082,0.826891799145334,0.1108630861582131
24.0,0.4609306409130816,0.9231782265144864,1.3841088674275681,0.6669838249286394,3.1158911325724317,1.1175241131531823,2.384274113731297,2.6653117906054096,0.8243333762422713,0.1105272848875846
