scenario,risk_bearing_actor,risk_aversion,expected_profit,profit_standard_deviation
S,Retailer,7.15,3.8499503069828678,0.3968562139582947
S,Retailer,7.2,3.8434447096036553,0.39571220164365895
S,Retailer,7.25,3.8369501855296044,0.39457476602968644
S,Retailer,7.300000000000001,3.8304668652627876,0.3934438505666952
S,Retailer,7.3500000000000005,3.8239948752404156,0.3923193993514733
S,Retailer,7.4,3.817534337929308,0.3912013571180664
S,Retailer,7.45,3.811085371918141,0.3900896692287229
S,Retailer,7.5,3.8046480920075285,0.3889842816649948
S,Retailer,7.550000000000001,3.7982226092979543,0.3878851410189861
S,Retailer,7.6000000000000005,3.7918090312756734,0.3867921944847525
S,Retailer,7.65,3.7854074618965634,0.3857053898498439
S,Retailer,7.7,3.779018001668038,0.3846246754869901
S,Retailer,7.75,3.7726407477290294,0.38355000034592496
S,Retailer,7.800000000000001,3.766275793928106,0.38248131394534896
S,Retailer,7.8500000000000005,3.7599232308997768,0.3814185663650233
S,Retailer,7.9,3.7535831461390052,0.3803617082379977
S,Retailer,7.95,3.7472556240740174,0.37931069074296664
S,Retailer,8.0,3.740940746137383,0.37826546559674995
S,Retailer,8.05,3.7346385908354924,0.3772259850469004
S,Retailer,8.1,3.7283492338163895,0.3761922018644301
S,Retailer,8.15,3.722072747936071,0.37516406933665875
S,Retailer,8.200000000000001,3.7158092033232304,0.37414154126017607
S,Retailer,8.25,3.7095586674425323,0.3731245719339223
S,Retailer,8.3,3.7033212051564175,0.37211311615237774
S,Retailer,8.35,3.6970968787854965,0.3711071291988646
S,Retailer,8.4,3.6908857481675645,0.3701065668389584
S,Retailer,8.450000000000001,3.684687870715253,0.36911138531400256
S,Retailer,8.5,3.678503301472379,0.3681215413347307
S,Retailer,8.55,3.6723320931689933,0.3671369920749882
S,Retailer,8.6,3.6661742962751895,0.3661576951655568
S,Retailer,8.65,3.6600299590536767,0.36518360868807576
S,Retailer,8.700000000000001,3.653899127611169,0.36421469116906185
S,Retailer,8.75,3.6477818459485962,0.3632509015740219
S,Retailer,8.8,3.641678156010185,0.3622921993016607
S,Retailer,8.85,3.63558809773144,0.36133854417817945
S,Retailer,8.9,3.6295117090860085,0.3603898964516633
S,Retailer,8.950000000000001,3.6234490261315275,0.35944621678655925
S,Retailer,9.0,3.617400083054402,0.35850746625823715
S,Retailer,9.05,3.611364912213599,0.3575736063476395
S,Retailer,9.1,3.605343544183454,0.3566445989360125
S,Retailer,9.15,3.5993360077955034,0.3557204062997191
S,Retailer,9.200000000000001,3.5933423301793863,0.35480099110513263
S,Retailer,9.25,3.5873625368028357,0.3538863164036101
S,Retailer,9.3,3.5813966515107647,0.3529763456265418
S,Retailer,9.35,3.5754446965634896,0.3520710425804789
S,Retailer,9.4,3.5695066926740866,0.35117037144233343
S,Retailer,9.450000000000001,3.5635826590449353,0.35027429675465477
S,Retailer,9.5,3.5576726134034216,0.3493827834209745
S,Retailer,9.55,3.5517765720368746,0.3484957967012261
S,Retailer,9.600000000000001,3.5458945498266967,0.3476133022072307
S,Retailer,9.65,3.540026560281775,0.34673526589825454
S,Retailer,9.700000000000001,3.534172615571111,0.3458616540766312
S,Retailer,9.75,3.5283327265557514,0.34499243338345
